"doi";"type";"source_2";"source_1";"mismatched"
"10.1101/2022.03.27.22271628";"approp";"4";"1";TRUE
"10.1101/2022.03.27.22271628";"bar";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"bardot";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"box";"0";"1";TRUE
"10.1101/2022.03.27.22271628";"dot";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"flowno";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"flowyes";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"hist";"0";"1";TRUE
"10.1101/2022.03.27.22271628";"pie";"0";"0";FALSE
"10.1101/2022.03.27.22271628";"violin";"1";"0";TRUE
"10.1101/2022.03.29.22273148";"approp";"2";"2";FALSE
"10.1101/2022.03.29.22273148";"bar";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"bardot";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"box";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"dot";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"flowno";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"flowyes";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"hist";"1";"2";TRUE
"10.1101/2022.03.29.22273148";"pie";"0";"0";FALSE
"10.1101/2022.03.29.22273148";"violin";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"approp";"1";"0";TRUE
"10.1101/2022.03.31.22273239";"bar";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"bardot";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"box";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"dot";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"flowno";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"flowyes";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"hist";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"pie";"0";"0";FALSE
"10.1101/2022.03.31.22273239";"violin";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"approp";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"bar";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"bardot";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"box";"1";"0";TRUE
"10.1101/2022.04.04.22273320";"dot";"1";"0";TRUE
"10.1101/2022.04.04.22273320";"flowno";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"flowyes";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"hist";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"pie";"0";"0";FALSE
"10.1101/2022.04.04.22273320";"violin";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"approp";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"bar";"0";"1";TRUE
"10.1101/2022.04.04.22273361";"bardot";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"box";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"dot";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"flowno";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"flowyes";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"hist";"1";"0";TRUE
"10.1101/2022.04.04.22273361";"pie";"0";"0";FALSE
"10.1101/2022.04.04.22273361";"violin";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"approp";"0";"2";TRUE
"10.1101/2022.04.04.22273429";"bar";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"bardot";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"box";"2";"1";TRUE
"10.1101/2022.04.04.22273429";"dot";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"flowno";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"flowyes";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"hist";"1";"1";FALSE
"10.1101/2022.04.04.22273429";"pie";"0";"0";FALSE
"10.1101/2022.04.04.22273429";"violin";"0";"0";FALSE
"10.1101/2022.04.04.486920";"approp";"1";"0";TRUE
"10.1101/2022.04.04.486920";"bar";"5";"5";FALSE
"10.1101/2022.04.04.486920";"bardot";"0";"0";FALSE
"10.1101/2022.04.04.486920";"box";"0";"0";FALSE
"10.1101/2022.04.04.486920";"dot";"0";"0";FALSE
"10.1101/2022.04.04.486920";"flowno";"0";"0";FALSE
"10.1101/2022.04.04.486920";"flowyes";"0";"0";FALSE
"10.1101/2022.04.04.486920";"hist";"0";"0";FALSE
"10.1101/2022.04.04.486920";"pie";"0";"0";FALSE
"10.1101/2022.04.04.486920";"violin";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"approp";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"bar";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"bardot";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"box";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"dot";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"flowno";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"flowyes";"1";"0";TRUE
"10.1101/2022.04.05.22272397";"hist";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"pie";"0";"0";FALSE
"10.1101/2022.04.05.22272397";"violin";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"approp";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"bar";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"bardot";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"box";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"dot";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"flowno";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"flowyes";"2";"1";TRUE
"10.1101/2022.04.06.22273514";"hist";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"pie";"0";"0";FALSE
"10.1101/2022.04.06.22273514";"violin";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"approp";"1";"0";TRUE
"10.1101/2022.04.06.22273535";"bar";"1";"0";TRUE
"10.1101/2022.04.06.22273535";"bardot";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"box";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"dot";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"flowno";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"flowyes";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"hist";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"pie";"0";"0";FALSE
"10.1101/2022.04.06.22273535";"violin";"0";"0";FALSE
"10.1101/2022.04.06.487394";"approp";"0";"0";FALSE
"10.1101/2022.04.06.487394";"bar";"0";"0";FALSE
"10.1101/2022.04.06.487394";"bardot";"7";"6";TRUE
"10.1101/2022.04.06.487394";"box";"0";"1";TRUE
"10.1101/2022.04.06.487394";"dot";"3";"1";TRUE
"10.1101/2022.04.06.487394";"flowno";"0";"0";FALSE
"10.1101/2022.04.06.487394";"flowyes";"0";"0";FALSE
"10.1101/2022.04.06.487394";"hist";"0";"0";FALSE
"10.1101/2022.04.06.487394";"pie";"0";"0";FALSE
"10.1101/2022.04.06.487394";"violin";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"approp";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"bar";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"bardot";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"box";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"dot";"2";"0";TRUE
"10.1101/2022.04.07.22273593";"flowno";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"flowyes";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"hist";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"pie";"0";"0";FALSE
"10.1101/2022.04.07.22273593";"violin";"2";"0";TRUE
"10.1101/2022.04.07.487460";"approp";"3";"0";TRUE
"10.1101/2022.04.07.487460";"bar";"0";"0";FALSE
"10.1101/2022.04.07.487460";"bardot";"0";"0";FALSE
"10.1101/2022.04.07.487460";"box";"1";"8";TRUE
"10.1101/2022.04.07.487460";"dot";"1";"5";TRUE
"10.1101/2022.04.07.487460";"flowno";"0";"3";TRUE
"10.1101/2022.04.07.487460";"flowyes";"0";"0";FALSE
"10.1101/2022.04.07.487460";"hist";"0";"0";FALSE
"10.1101/2022.04.07.487460";"pie";"0";"0";FALSE
"10.1101/2022.04.07.487460";"violin";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"approp";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"bar";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"bardot";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"box";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"dot";"1";"0";TRUE
"10.1101/2022.04.08.22273602";"flowno";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"flowyes";"1";"0";TRUE
"10.1101/2022.04.08.22273602";"hist";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"pie";"0";"0";FALSE
"10.1101/2022.04.08.22273602";"violin";"1";"0";TRUE
"10.1101/2022.04.08.22273605";"approp";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"bar";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"bardot";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"box";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"dot";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"flowno";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"flowyes";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"hist";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"pie";"0";"0";FALSE
"10.1101/2022.04.08.22273605";"violin";"5";"3";TRUE
"10.1101/2022.04.11.22272784";"approp";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"bar";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"bardot";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"box";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"dot";"1";"1";FALSE
"10.1101/2022.04.11.22272784";"flowno";"0";"1";TRUE
"10.1101/2022.04.11.22272784";"flowyes";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"hist";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"pie";"0";"0";FALSE
"10.1101/2022.04.11.22272784";"violin";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"approp";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"bar";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"bardot";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"box";"1";"0";TRUE
"10.1101/2022.04.11.22273709";"dot";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"flowno";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"flowyes";"1";"0";TRUE
"10.1101/2022.04.11.22273709";"hist";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"pie";"0";"0";FALSE
"10.1101/2022.04.11.22273709";"violin";"0";"0";FALSE
"10.1101/2022.04.11.487828";"approp";"0";"0";FALSE
"10.1101/2022.04.11.487828";"bar";"1";"1";FALSE
