"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC6023157";"29953526";"10.1371/journal.pone.0199881";"oa_package/6d/ee/PMC6023157.tar.gz";NA;"2018";"research-article";NA;"1932-6203";"FoR_1";"MD";"MD - Multidisciplinary";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"13";"0";TRUE
"PMC5139050";"26426210";"10.1111/hex.12416";"oa_package/63/49/PMC5139050.tar.gz";NA;"2016";"research-article";"1369-6513";"1369-7625";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"10";"0";TRUE
"PMC7145546";"31665428";"10.1093/nar/gkz958";"oa_package/c0/ad/PMC7145546.tar.gz";"oa_pdf/c0/ad/gkz958.PMC7145546.pdf";"2020";"research-article";"0305-1048";"1362-4962";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"5";"0";TRUE
"PMC3685573";"23705984";"10.1186/1880-6805-32-9";"oa_package/5c/bc/PMC3685573.tar.gz";NA;"2013";"research-article";"1880-6791";"1880-6805";"FoR_2";"1116";"1116 - Medical Physiology";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"3";"0";TRUE
"PMC6517320";"29754661";"10.1016/j.ahj.2018.02.015";"oa_package/97/22/PMC6517320.tar.gz";"oa_pdf/97/22/nihms-1025306.PMC6517320.pdf";"2018";"research-article";"0002-8703";"1097-6744";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"16";"0";TRUE
"PMC5867124";"29441681";"10.1111/jcmm.13504";"oa_package/06/4e/PMC5867124.tar.gz";NA;"2018";"research-article";"1582-1838";"1582-4934";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC6883715";"31783758";"10.1186/s12913-019-4749-y";"oa_package/99/6e/PMC6883715.tar.gz";NA;"2019";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"10";"0";TRUE
"PMC4269846";"25491883";"10.1186/s12875-014-0202-9";"oa_package/7b/4a/PMC4269846.tar.gz";NA;"2014";"research-article";NA;"1471-2296";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"10";"0";TRUE
"PMC4948101";"27433335";"10.1186/s12998-016-0106-y";"oa_package/ba/7f/PMC4948101.tar.gz";NA;"2016";"research-article";NA;"2045-709X";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC6408913";"30863688";"10.7717/peerj.6577";"oa_package/f7/69/PMC6408913.tar.gz";NA;"2019";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"3";"1";"0";"2";"0";"1";"0";"1";"1";"1";"12";"0";TRUE
"PMC5078900";"27799957";"10.1186/s13223-016-0162-9";"oa_package/19/b9/PMC5078900.tar.gz";NA;"2016";"research-article";"1710-1484";"1710-1492";"FoR_1";"1107";"1107 - Immunology";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC5108262";"27878082";"10.1002/ece3.2544";"oa_package/73/cd/PMC5108262.tar.gz";NA;"2016";"research-article";NA;"2045-7758";"FoR_1";"0603";"0603 - Evolutionary Biology";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC3409104";"22802361";"10.1085/jgp.201110706";"oa_package/76/1d/PMC3409104.tar.gz";"oa_pdf/76/1d/JGP_201110706.PMC3409104.pdf";"2012";"research-article";"0022-1295";"1540-7748";"FoR_2";"1116";"1116 - Medical Physiology";"0";"1";"0";"0";"0";"1";"0";"2";"7";"0";"11";"0";TRUE
"PMC6488114";"30806043";"10.1002/cam4.2031";"oa_package/61/21/PMC6488114.tar.gz";NA;"2019";"research-article";NA;"2045-7634";"FoR_2";"1112";"1112 - Oncology and Carcinogenesis";"2";"0";"1";"0";"0";"1";"0";"0";"2";"2";"8";"0";TRUE
"PMC3321242";"22493540";"10.6026/97320630008290";"oa_package/1a/e3/PMC3321242.tar.gz";NA;"2012";"research-article";NA;"0973-2063";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";TRUE
"PMC2903569";"20525369";"10.1186/1471-2105-11-305";"oa_package/25/cd/PMC2903569.tar.gz";NA;"2010";"research-article";NA;"1471-2105";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"8";"0";TRUE
"PMC3497233";"23097517";"10.1098/rspb.2012.1795";"oa_package/7a/20/PMC3497233.tar.gz";NA;"2012";"research-article";"0962-8452";"1471-2954";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"7";"0";TRUE
"PMC4971753";"27485435";"10.1186/s12913-016-1554-8";"oa_package/91/fe/PMC4971753.tar.gz";NA;"2016";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"12";"0";TRUE
"PMC7469308";"32905307";"10.1186/s13040-020-00223-w";"oa_package/c8/e8/PMC7469308.tar.gz";NA;"2020";"research-article";NA;"1756-0381";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"0";"0";"1";"0";"1";"0";"0";"3";"0";"15";"0";TRUE
"PMC4163843";"24195791";"10.5483/BMBRep.2014.47.1.086";"oa_package/c2/e8/PMC4163843.tar.gz";"oa_pdf/c2/e8/BMB-47-15.PMC4163843.pdf";"2014";"research-article";"1976-6696";"1976-670X";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC3549945";"23148504";"10.1186/1746-4269-8-43";"oa_package/d9/91/PMC3549945.tar.gz";NA;"2012";"research-article";NA;"1746-4269";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"9";"0";TRUE
"PMC4451026";"26038737";"10.7717/peerj.985";"oa_package/cf/93/PMC4451026.tar.gz";NA;"2015";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"16";"0";TRUE
