publication_date;doi;bar;pie;hist;bardot;box;dot;violin;approp;flowno;flowyes;sciscore;ethics_label;ethics_title1;ethics_value1;ethics_title2;ethics_value2;ethics_title3;ethics_value3;label2;value2;label3;value3;label4;value4;label5;value5;label6;value6;label7;value7;label8;value8;limitations;jet_pages;trial_n_detected;is_modeling_paper;is_open_data;is_open_code;coi_statement;funding_statement;registration_statement;limitations_detected;has_jet_pages;randomization_detected;randomization_required;blinding_detected;blinding_required;ethics_statement_detected;ethics_statement_required;power_analysis_detected;power_analysis_required;sex_variable_detected;sex_variable_required;inclusion_criteria_detected;inclusion_criteria_required;attrition_detected;attrition_required;subject_demographics_detected;subject_demographics_required;cla_detected;cla_required;ethics_titles;has_consent;has_IRB;has_IRB_or_consent;is_animal_study;has_IRB_only
2022-04-05;10.1101/2022.04.03.22273268;0;0;0;0;0;0;0;0;0;0;2;Ethics;IRB;Ethics approval: The Institutional Review Board of the Clinical Research and Genome Research Committee at Yamanashi Central Hospital approved this study and the use of an opt-out consent method (Approval No. C2019-30).;Consent;Ethics approval: The Institutional Review Board of the Clinical Research and Genome Research Committee at Yamanashi Central Hospital approved this study and the use of an opt-out consent method (Approval No. C2019-30).;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;10;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;IRB,Consent,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-04-06;10.1101/2022.04.06.22273503;0;0;0;0;0;0;0;0;0;0;1;Ethics;IRB;The study was approved by the institutional review board under number METC2021-0309.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;IRB,NA,NA;FALSE;FALSE;FALSE;FALSE;TRUE
2022-05-16;10.1101/2022.05.16.492062;0;0;0;0;0;0;0;0;0;0;2;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notdetected.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-04-17;10.1101/2022.04.12.22273786;0;0;0;0;0;0;0;0;0;0;3;Ethics;Consent;If there were multiple adults aged 50 years or older within a household, one person was randomly selected and was assessed for capacity to consent, invited to participate, and provided oral consent to enter the study.;IRB;Ethical approval: This study was approved by the American University of Beirut Social and Behavioral Sciences Institutional Review Board [Reference: SBS-2020-0329].;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;If there were multiple adults aged 50 years or older within a household, one person was randomly selected and was assessed for capacity to consent, invited to participate, and provided oral consent to enter the study.;Sex as a biological variable;notdetected.;Subject Demographics;16 The study included Syrian refugees aged 50 years and older, who were identified from a full listing of beneficiary households of a non-governmental humanitarian organization [Norwegian Refugee Council].;Randomization;If there were multiple adults aged 50 years or older within a household, one person was randomly selected and was assessed for capacity to consent, invited to participate, and provided oral consent to enter the study.;Blinding;notdetected.;Power Analysis;notdetected.;9;0;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;Consent,IRB,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-06-28;10.1101/2022.06.28.22276983;0;0;0;0;0;0;0;0;0;0;2;Ethics;IRB;The study was approved by the University of Cape Town and Stellenbosch University Health Research Ethics Committees and Western Cape Government: Health.;Consent;Individual informed consent requirement was waived for this secondary analysis of de-identified data.;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;We conducted a cohort study using de-identified data from the Western Cape Provincial Health Data Centre (WCPHDC) of public sector patients aged ≥20 years with a laboratory confirmed COVID-19 diagnosis (positive SARS-CoV-2 PCR or antigen test).;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;11;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;NA;NA;IRB,Consent,NA;TRUE;FALSE;TRUE;FALSE;FALSE
2022-04-28;10.1101/2022.04.27.22274357;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-05-01;10.1101/2022.04.29.22274486;0;0;0;0;0;0;0;0;0;0;4;Ethics;IRB;We obtained ethical approval from University of Glasgow MVLS College Ethics Committee (reference 20019174) and London School of Hygiene and Tropical Medicine Research Ethics Committee (reference 22565).;NA;NA;NA;NA;Inclusion and Exclusion Criteria;Participants aged 45-59 years were excluded from this analysis due to the low burden of STIs in this age group.;Attrition;While we did not present estimates for participants who identified ‘in another way’ for gender, these 22 participants were included in estimates presented for ‘all’.;Sex as a biological variable;Data from Natsal-COVID are presented for all participants and separately for men (including trans men) and women (including trans women).;Subject Demographics;16 Interviewers visited all sampled addresses, identified residents in the eligible age range (16–74 years), and randomly selected one individual to participate in the survey.;Randomization;16 Interviewers visited all sampled addresses, identified residents in the eligible age range (16–74 years), and randomly selected one individual to participate in the survey.;Blinding;notdetected.;Power Analysis;notdetected.;17;0;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;IRB,NA,NA;FALSE;FALSE;FALSE;FALSE;TRUE
2022-04-18;10.1101/2022.04.17.22273949;0;0;0;0;0;0;0;0;0;0;4;Ethics;IRB;The Institutional Review Board of Stanford University determined that this project does not meet the definition of human subject research as defined in federal regulations 45 CFR 46.102 or 21 CFR 50.3 and indicated that no formal IRB review is required.;Field Sample Permit;The solids samples were processed within 24 hours of collection exactly according to the methods described by Wolfe et al.2 and are summarized in the SI.;NA;NA;Inclusion and Exclusion Criteria;notdetected.;Attrition;notdetected.;Sex as a biological variable;notdetected.;Subject Demographics;notdetected.;Randomization;Downsampling simulation: In order to estimate the SARS-CoV-2 N gene and PMMoV RNA concentration we would have obtained if we had run a smaller number of wells (X = 1 - 9), we randomly selected X wells from the 10 wells to calculate the resultant concentration:where 0.00085 μL is the volume of a single droplet14.;Blinding;notdetected.;Power Analysis;notdetected.;6;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;NA;NA;IRB,Field Sample Permit,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-04-16;10.1101/2022.04.07.22273430;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notdetected.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;Patients were excluded from the study if vaccine status was unknown or considered incomplete, or they had received a primary series vaccination that was not an mRNA vaccine manufactured by Moderna and/or Pfizer-BioNTech.;Attrition;notrequired.;Sex as a biological variable;Sex included male and female.;Subject Demographics;notdetected.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;3;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
2022-05-31;10.1101/2022.05.28.22275432;0;0;0;0;0;0;0;0;0;0;3;Ethics;NA;notrequired.;NA;NA;NA;NA;Inclusion and Exclusion Criteria;notrequired.;Attrition;notrequired.;Sex as a biological variable;notrequired.;Subject Demographics;notrequired.;Randomization;notdetected.;Blinding;notdetected.;Power Analysis;notdetected.;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA,NA,NA;FALSE;FALSE;FALSE;FALSE;FALSE
