"filename","bar","pie","hist","bardot","box","dot","violin","approp","flowno","flowyes","sciscore","ethics_label","ethics_title1","ethics_value1","ethics_title2","ethics_value2","ethics_title3","ethics_value3","label2","value2","label3","value3","label4","value4","label5","value5","label6","value6","label7","value7","label8","value8","limitations","jet_pages","trial_n_detected","is_modeling_paper","is_open_data","is_open_code","coi_statement","funding_statement","registration_statement"
"10.1101+2022.04.05.22272397.pdf","0","0","0","0","0","0","0","0","0","0","1","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Study Selection Articles were included if they evaluated the deaths of despair during the COVID-19 pandemic.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",26,0,False,False,False,False,True,False,False
"10.1101+2022.04.04.22273320.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",72,0,False,False,True,False,False,True,False
"10.1101+2022.04.03.22273268.pdf","0","0","0","0","0","0","0","0","0","0","1","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",10,0,False,False,False,False,True,True,False
"10.1101+2022.03.31.22273239.pdf","0","0","0","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,False,True,False
"10.1101+2022.04.04.22273344.pdf","0","0","0","0","0","0","0","0","0","0","6","Ethics","IRB","Ethical consideration Ethical clearance was obtained from Saint Paul's Millennium Medical College institutional review board (IRB).","Consent","Then, the chief executive director and the clinical director were communicated about the purpose of the study, and permission was obtained on behalf of patients to access the data.",NULL,NULL,"Inclusion and Exclusion Criteria","Medical records without HgA1c and patients with stress hyperglycemia without elevated HgA1c were excluded from the study.","Attrition","Four data collectors and two supervisors were recruited and trained for half-day about the data collection requirements.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","Cases were selected consecutively, and two respective controls next to the sampled case were included randomly with replacement after confining all death records in their order of medical record number (MRN).","Blinding","not detected.","Power Analysis","not detected.",4,0,False,False,False,False,True,True,False
"10.1101+2022.04.04.486920.pdf","5","0","0","0","0","0","0","0","0","0","2","Ethics",NULL,"not detected.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,False,False,False,False,True,True,False
"10.1101+2022.06.07.22276055.pdf","0","0","0","0","0","1","0","0","1","0","5","Ethics","Field Sample Permit","Materials and Methods Collection of raw sewage composite samples We selected eleven sampling points of manholes across Champaign County, IL, USA.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","Three cases of Delta variant infections (GISAID ID: EPI_ISL_2885447, EPI_ISL_2885451, and EPI_ISL_2885452) were first confirmed by clinical tests on June 27 and reported on July 9 in Champaign County (Fig. S8).","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,False,True,False,True,False,False,False
"10.1101+2022.03.31.22273257.pdf","0","0","0","0","0","0","0","0","1","1","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",27,0,False,False,False,False,False,False,False
"10.1101+2022.03.27.22271628.pdf","0","0","1","0","1","0","0","1","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",38,0,False,True,False,False,True,True,False
"10.1101+2022.05.24.493347.pdf","1","0","0","0","0","0","0","1","0","0","5","Ethics","IACUC","2.13 In vivo Centi-C10 mAb pharmacokinetic study All animal studies were performed in accordance with National Institutes of Health guidelines and with the approval of the Stanford Administrative Panel on Laboratory Animal Care (APLAC-32109).",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not detected.","Attrition","Data points shown as mean +- SD (n = 3 prior to 24 hrs, otherwise n = 6; for gel group, n >= 4 after day 63); calculated PK values shown as mean +- SE. 7: Bioavailability and neutralizing activity of subcutaneously delivered Centi-C10. a) Timecourse of pharmacokinetic study. b) Bioavailability quantified by the area under the curve (AUC) of the Centi-C10 pharmacokinetic profiles by ELISA through day 42 normalized by AUC of the IV bolus group (mean +- SE, n=6 mice/group); p-value determined by two-sided unpaired t-test. c) Neutralizing activity of Centi-C10 from mouse serum 7 days post-administration as determined by spike-pseudotyped lentivirus neutralization assay (mean +- SD, n=6 mice/group, assayed in duplicate).","Sex as a biological variable","Female B6.CgFcgrttm1Dcr Prkdcscid Tg(FCGRT)32Dcr/DcrJ (The Jackson Laboratory, Stock No. 018441) mice age 1214 weeks were administered Centi-C10 antibody via IV (retro-orbital) or SC injection under brief isoflurane anesthesia.","Subject Demographics","Female B6.CgFcgrttm1Dcr Prkdcscid Tg(FCGRT)32Dcr/DcrJ (The Jackson Laboratory, Stock No. 018441) mice age 1214 weeks were administered Centi-C10 antibody via IV (retro-orbital) or SC injection under brief isoflurane anesthesia.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,False,True,False,False,True,True,False
"10.1101+2022.05.12.22274823.pdf","0","0","1","0","0","0","0","0","0","0","0","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not required.","Blinding","not required.","Power Analysis","not required.",0,0,False,False,False,False,True,True,False
"10.1101+2022.05.26.22275279.pdf","0","0","1","0","0","0","0","0","0","0","4","Ethics","Consent","All study participants provided written consent and all studies were approved by the Institutional Review Board of Stanford University (Numbers: 55479, 57686, 56032, and 55619).","IRB","All study participants provided written consent and all studies were approved by the Institutional Review Board of Stanford University (Numbers: 55479, 57686, 56032, and 55619).",NULL,NULL,"Inclusion and Exclusion Criteria","To exclude potential shared iSNVs attributable to sequencing batch, we excluded samples sequenced on the same Illumina sequencing lane in pairwise comparisons.","Attrition","not detected.","Sex as a biological variable","not detected.","Subject Demographics","not detected.","Randomization","(b) A randomized, single-blind, placebo-controlled trial of Peginterferon Lambda- 1a (Lambda) for reducing the duration of viral shedding or symptoms[17] in which oropharyngeal swabs were collected for 28 days following enrollment.","Blinding","not detected.","Power Analysis","not detected.",39,0,False,False,True,False,True,False,False
"10.1101+2022.06.10.22276268.pdf","2","0","0","0","0","0","0","2","0","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","For IV selection, we first excluded SNPs in HLA gene region, ABO gene and FUT2 gene because genetic variants in these regions might be susceptible to horizontal pleiotropy.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","56 Mendelian randomization (MR) analysis We conducted a bidirectional MR analysis to assess the causal relationship between two traits.","Blinding","not detected.","Power Analysis","not detected.",81,0,False,True,False,False,True,True,False
"10.1101+2022.06.02.22275926.pdf","0","0","0","0","0","0","0","1","0","0","3","Ethics",NULL,"not required.",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","not required.","Attrition","not required.","Sex as a biological variable","not required.","Subject Demographics","not required.","Randomization","not detected.","Blinding","not detected.","Power Analysis","not detected.",0,0,False,True,False,True,True,True,False
"10.1101+2022.04.29.22274486.pdf","0","0","0","0","0","1","0","0","0","0","4","Ethics","IRB","We obtained ethical approval from University of Glasgow MVLS College Ethics Committee (reference 20019174) and London School of Hygiene and Tropical Medicine Research Ethics Committee (reference 22565).",NULL,NULL,NULL,NULL,"Inclusion and Exclusion Criteria","Participants aged 4559 years were excluded from this analysis due to the low burden of STIs in this age group.","Attrition","While we did not present estimates for participants who identified 'in another way' for gender, these 22 participants were included in estimates presented for 'all'.","Sex as a biological variable","Data from Natsal-COVID are presented for all participants and separately for men (including trans men) and women (including trans women).","Subject Demographics","16 Interviewers visited all sampled addresses, identified residents in the eligible age range (16-74 years), and randomly selected one individual to participate in the survey.","Randomization","16 Interviewers visited all sampled addresses, identified residents in the eligible age range (16-74 years), and randomly selected one individual to participate in the survey.","Blinding","not detected.","Power Analysis","not detected.",23,0,True,False,True,False,True,True,False
